frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x4A130200,0x00000000,0x01,0x03,17935,768,2516,1936,1,010002134A0F460003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x4A130200,0x00000000,0x01,0x03,17935,768,2516,1936,1,010002134A0F460003
34,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x4C130200,0x00000000,0x01,0x03,17935,768,2516,1937,1,010002134C0F460003
35,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x4C130400,0x00000000,0x01,0x03,17935,768,2517,1937,1,010004134C0F460003
36,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x4E130400,0x00000000,0x01,0x03,17935,768,2517,1938,1,010004134E0F460003
37,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x4E130600,0x00000000,0x01,0x03,17935,768,2518,1938,1,010006134E0F460003
38,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x50130800,0x00000000,0x01,0x03,17935,768,2519,1939,1,01000813500F460003
39,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x50130800,0x00000000,0x01,0x03,17935,768,2519,1939,1,01000813500F460003
40,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x52130A00,0x00000000,0x01,0x03,17935,768,2520,1940,1,01000A13520F460003
41,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x54130A00,0x00000000,0x01,0x03,17423,768,2520,1941,1,01000A13540F440003
42,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x56130C00,0x00000000,0x01,0x03,16911,768,2521,1942,1,01000C13560F420003
43,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x58130C00,0x00000000,0x01,0x03,16399,768,2521,1943,1,01000C13580F400003
44,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5A130C00,0x00000000,0x01,0x03,15887,768,2521,1944,1,01000C135A0F3E0003
45,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5A130C00,0x00000000,0x01,0x03,15375,768,2521,1944,1,01000C135A0F3C0003
46,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5C130C00,0x00000000,0x01,0x03,14863,768,2521,1945,1,01000C135C0F3A0003
47,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5C130C00,0x00000000,0x01,0x03,14351,768,2521,1945,1,01000C135C0F380003
48,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5E130C00,0x00000000,0x01,0x03,13839,768,2521,1946,1,01000C135E0F360003
49,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5E130C00,0x00000000,0x01,0x03,13327,768,2521,1946,1,01000C135E0F340003
50,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5E130C00,0x00000000,0x01,0x03,13327,768,2521,1946,1,01000C135E0F340003
51,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5E130A00,0x00000000,0x01,0x03,13327,768,2520,1946,1,01000A135E0F340003
52,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x5E130A00,0x00000000,0x01,0x03,13327,768,2520,1946,1,01000A135E0F340003
53,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x60130A00,0x00000000,0x01,0x03,13327,768,2520,1947,1,01000A13600F340003
54,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x62130A00,0x00000000,0x01,0x03,13327,768,2520,1948,1,01000A13620F340003
55,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x64130C00,0x00000000,0x01,0x03,13327,768,2521,1949,1,01000C13640F340003
56,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x64130C00,0x00000000,0x01,0x03,13327,768,2521,1949,1,01000C13640F340003
57,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x64130E00,0x00000000,0x01,0x03,13839,768,2523,1949,1,01000E13640F360003
58,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x66130E00,0x00000000,0x01,0x03,14351,768,2523,1950,1,01000E13660F380003
59,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x6C130E00,0x00000000,0x01,0x03,16911,768,2523,1953,1,01000E136C0F420003
59,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x401B4000,0x00000001,0x03,0x03,524,768,3607,1551,10,0300401B400C020003
60,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x74131000,0x00000000,0x01,0x03,17935,768,2524,1957,1,01001013740F460003
60,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x5A1B3E00,0x00000001,0x03,0x03,1036,768,3606,1564,10,03003E1B5A0C040003
61,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x7A131000,0x00000000,0x01,0x03,18959,768,2524,1960,1,010010137A0F4A0003
61,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x661B3A00,0x00000001,0x03,0x03,2572,768,3604,1570,10,03003A1B660C0A0003
62,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x80131000,0x00000000,0x01,0x03,18959,768,2524,1963,1,01001013800F4A0003
62,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x6E1B3600,0x00000001,0x03,0x03,4108,768,3602,1574,10,0300361B6E0C100003
63,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x84131200,0x00000000,0x01,0x03,18959,768,2525,1965,1,01001213840F4A0003
63,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x6E1B3600,0x00000001,0x03,0x03,6156,768,3602,1574,10,0300361B6E0C180003
64,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x88131200,0x00000000,0x01,0x03,18959,768,2525,1967,1,01001213880F4A0003
64,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x6E1B3600,0x00000001,0x03,0x03,7692,768,3602,1574,10,0300361B6E0C1E0003
65,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x8C131400,0x00000000,0x01,0x03,18959,768,2526,1969,1,010014138C0F4A0003
65,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x6E1B3600,0x00000001,0x03,0x03,8716,768,3602,1574,10,0300361B6E0C220003
66,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x8E131200,0x00000000,0x01,0x03,18959,768,2525,1970,1,010012138E0F4A0003
66,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x721B3600,0x00000001,0x03,0x03,9740,768,3602,1576,10,0300361B720C260003
67,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x92131200,0x00000000,0x01,0x03,18959,768,2525,1972,1,01001213920F4A0003
67,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x721B3600,0x00000001,0x03,0x03,10252,768,3602,1576,10,0300361B720C280003
68,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x92131200,0x00000000,0x01,0x03,18959,768,2525,1972,1,01001213920F4A0003
